session_id,user_id,session_date,platform,app_version
S1,U06253,01-01-2025,iOS,1
S2,U04685,01-01-2025,Android,2
S3,U01732,01-01-2025,iOS,1
S4,U04743,01-01-2025,Android,2
S5,U04522,01-01-2025,Android,1
S6,U06341,01-01-2025,Android,2
S7,U00577,01-01-2025,iOS,2
S8,U05203,01-01-2025,Android,1
S9,U06364,01-01-2025,iOS,2
S10,U00440,01-01-2025,iOS,2
S11,U02751,01-01-2025,Android,2
S12,U07488,01-01-2025,Android,1
S13,U05273,01-01-2025,iOS,1
S14,U05654,01-01-2025,Android,1
S15,U04000,01-01-2025,Android,2
S16,U06034,01-01-2025,Android,1
S17,U00583,01-01-2025,Android,1
S18,U09931,01-01-2025,Android,2
S19,U07052,01-01-2025,Android,2
S20,U08159,01-01-2025,iOS,2
S21,U09897,01-01-2025,Android,1
S22,U02250,01-01-2025,iOS,2
S23,U04641,01-01-2025,iOS,2
S24,U09486,01-01-2025,iOS,2
S25,U04948,01-01-2025,Android,1
S26,U09921,01-01-2025,iOS,2
S27,U01964,01-01-2025,Android,2
S28,U08244,01-01-2025,Android,2
S29,U06591,01-01-2025,Android,1
S30,U08848,01-01-2025,iOS,2
S31,U00322,01-01-2025,Android,1
S32,U02679,01-01-2025,Android,2
S33,U04626,01-01-2025,Android,1
S34,U04950,01-01-2025,iOS,1
S35,U08329,01-01-2025,Android,1
S36,U03338,01-01-2025,Android,2
S37,U05590,01-01-2025,Android,1
S38,U00252,01-01-2025,Android,2
S39,U03974,01-01-2025,Android,1
S40,U06631,01-01-2025,Android,2
S41,U05548,01-01-2025,Android,2
S42,U00036,01-01-2025,Android,1
S43,U08363,01-01-2025,iOS,2
S44,U01514,01-01-2025,Android,1
S45,U09318,01-01-2025,Android,2
S46,U00040,01-01-2025,Android,1
S47,U04820,01-01-2025,Android,1
S48,U03466,01-01-2025,iOS,2
S49,U01761,01-01-2025,iOS,1
S50,U02305,01-01-2025,iOS,1
S51,U03724,01-01-2025,Android,2
S52,U08285,01-01-2025,Android,1
S53,U04994,01-01-2025,Android,1
S54,U08128,01-01-2025,Android,2
S55,U03033,01-01-2025,iOS,2
S56,U07939,01-01-2025,Android,1
S57,U03040,01-01-2025,Android,2
S58,U09656,01-01-2025,Android,2
S59,U02546,01-01-2025,Android,2
S60,U02593,01-01-2025,iOS,1
S61,U01189,01-01-2025,Android,2
S62,U07967,01-01-2025,Android,1
S63,U06078,01-01-2025,iOS,1
S64,U00108,01-01-2025,iOS,2
S65,U01316,01-01-2025,Android,2
S66,U08188,01-01-2025,Android,1
S67,U02754,01-01-2025,Android,1
S68,U09754,01-01-2025,Android,1
S69,U06232,01-01-2025,Android,1
S70,U02877,01-01-2025,Android,2
S71,U05324,01-01-2025,Android,2
S72,U00800,01-01-2025,iOS,2
S73,U03571,01-01-2025,Android,1
S74,U02895,01-01-2025,iOS,1
S75,U02928,01-01-2025,Android,2
S76,U08179,01-01-2025,Android,1
S77,U00972,01-01-2025,Android,2
S78,U06688,01-01-2025,iOS,2
S79,U08576,01-01-2025,Android,1
S80,U02021,01-01-2025,Android,1
S81,U09055,01-01-2025,Android,1
S82,U00953,01-01-2025,Android,2
S83,U05360,01-01-2025,Android,2
S84,U03858,01-01-2025,Android,1
S85,U05862,01-01-2025,Android,1
S86,U03146,01-01-2025,Android,1
S87,U03306,01-01-2025,Android,1
S88,U03007,01-01-2025,Android,2
S89,U09002,01-01-2025,Android,1
S90,U07771,01-01-2025,Android,2
S91,U07439,01-01-2025,Android,1
S92,U07943,01-01-2025,Android,1
S93,U09239,01-01-2025,Android,2
S94,U01057,01-01-2025,iOS,1
S95,U03155,01-01-2025,iOS,2
S96,U03788,01-01-2025,Android,1
S97,U09190,01-01-2025,Android,2
S98,U07826,01-01-2025,iOS,2
S99,U07540,01-01-2025,iOS,1
S100,U07232,01-01-2025,Android,2
S101,U00765,01-01-2025,iOS,1
S102,U05020,01-01-2025,iOS,2
S103,U04904,01-01-2025,iOS,2
S104,U08094,01-01-2025,iOS,1
S105,U06844,01-01-2025,iOS,1
S106,U02166,01-01-2025,iOS,1
S107,U01863,01-01-2025,Android,1
S108,U07851,01-01-2025,Android,1
S109,U09124,01-01-2025,iOS,2
S110,U02341,01-01-2025,Android,2
S111,U05528,01-01-2025,iOS,2
S112,U06744,01-01-2025,Android,2
S113,U04004,01-01-2025,Android,2
S114,U01124,01-01-2025,iOS,2
S115,U08710,01-01-2025,Android,1
S116,U04050,01-01-2025,Android,1
S117,U07641,01-01-2025,Android,2
S118,U00766,01-01-2025,Android,2
S119,U02345,01-01-2025,Android,2
S120,U04072,01-01-2025,Android,1
S121,U07217,01-01-2025,Android,2
S122,U04217,01-01-2025,Android,2
S123,U07953,01-01-2025,Android,2
S124,U05971,01-01-2025,iOS,2
S125,U03351,01-01-2025,iOS,2
S126,U04696,01-01-2025,iOS,2
S127,U03400,01-01-2025,Android,1
S128,U04082,01-01-2025,Android,2
S129,U09150,01-01-2025,Android,2
S130,U01225,01-01-2025,iOS,1
S131,U06293,01-01-2025,Android,2
S132,U03123,01-01-2025,Android,2
S133,U00511,01-01-2025,Android,2
S134,U05795,01-01-2025,Android,2
S135,U08182,01-01-2025,Android,1
S136,U09418,01-01-2025,Android,1
S137,U00097,01-01-2025,iOS,2
S138,U06682,01-01-2025,Android,1
S139,U01513,01-01-2025,Android,2
S140,U08792,01-01-2025,iOS,1
S141,U00120,01-01-2025,iOS,2
S142,U07792,01-01-2025,iOS,2
S143,U06518,01-01-2025,iOS,2
S144,U00034,01-01-2025,Android,2
S145,U07888,01-01-2025,Android,1
S146,U06831,01-01-2025,Android,2
S147,U05422,01-01-2025,Android,1
S148,U01069,01-01-2025,Android,1
S149,U01348,01-01-2025,Android,2
S150,U04748,01-01-2025,iOS,1
S151,U06006,01-01-2025,iOS,2
S152,U06040,01-01-2025,Android,2
S153,U03818,01-01-2025,iOS,1
S154,U08447,01-01-2025,Android,2
S155,U05270,01-01-2025,Android,1
S156,U06898,01-01-2025,Android,2
S157,U05310,01-01-2025,iOS,2
S158,U00032,01-01-2025,Android,2
S159,U05675,01-01-2025,Android,1
S160,U04387,01-01-2025,Android,2
S161,U00030,01-01-2025,Android,2
S162,U04203,01-01-2025,Android,1
S163,U07508,01-01-2025,Android,1
S164,U00736,01-01-2025,iOS,1
S165,U02068,01-01-2025,iOS,1
S166,U00107,01-01-2025,iOS,2
S167,U09645,01-01-2025,iOS,1
S168,U08895,01-01-2025,Android,1
S169,U08021,01-01-2025,iOS,1
S170,U02233,01-01-2025,Android,2
S171,U00994,01-01-2025,Android,2
S172,U09413,01-01-2025,Android,2
S173,U07059,01-01-2025,Android,1
S174,U06790,01-01-2025,Android,2
S175,U00361,01-01-2025,Android,1
S176,U00305,01-01-2025,iOS,1
S177,U02628,01-01-2025,iOS,2
S178,U08966,01-01-2025,iOS,2
S179,U04514,01-01-2025,Android,1
S180,U05911,01-01-2025,iOS,1
S181,U08314,01-01-2025,Android,2
S182,U03101,01-01-2025,Android,2
S183,U05704,01-01-2025,iOS,2
S184,U03899,01-01-2025,iOS,2
S185,U05441,01-01-2025,iOS,2
S186,U07931,01-01-2025,Android,2
S187,U00622,01-01-2025,iOS,1
S188,U07236,01-01-2025,Android,2
S189,U02499,01-01-2025,Android,2
S190,U00714,01-01-2025,iOS,1
S191,U08404,01-01-2025,Android,1
S192,U02856,01-01-2025,iOS,1
S193,U04270,01-01-2025,Android,1
S194,U02909,01-01-2025,Android,1
S195,U08081,01-01-2025,Android,2
S196,U04517,01-01-2025,Android,2
S197,U01262,01-01-2025,iOS,2
S198,U03161,01-01-2025,iOS,2
S199,U00971,01-01-2025,Android,1
S200,U03913,01-01-2025,Android,2
S201,U05199,01-01-2025,iOS,1
S202,U08847,01-01-2025,Android,1
S203,U00260,01-01-2025,iOS,2
S204,U03791,01-01-2025,Android,1
S205,U09203,01-01-2025,Android,2
S206,U00488,01-01-2025,Android,2
S207,U07908,01-01-2025,Android,2
S208,U00519,01-01-2025,iOS,1
S209,U08343,01-01-2025,Android,2
S210,U00312,01-01-2025,Android,2
S211,U03232,01-01-2025,iOS,2
S212,U07933,01-01-2025,Android,1
S213,U07458,01-01-2025,Android,1
S214,U09784,01-01-2025,iOS,2
S215,U05184,01-01-2025,Android,2
S216,U08077,01-01-2025,Android,1
S217,U06502,01-01-2025,iOS,2
S218,U06791,01-01-2025,Android,2
S219,U07773,01-01-2025,Android,1
S220,U02738,01-01-2025,Android,2
S221,U07842,01-01-2025,Android,2
S222,U06262,01-01-2025,Android,2
S223,U08206,01-01-2025,Android,1
S224,U01248,01-01-2025,Android,2
S225,U09336,01-01-2025,iOS,2
S226,U04195,01-01-2025,iOS,1
S227,U08001,01-01-2025,iOS,2
S228,U07378,01-01-2025,Android,1
S229,U03435,01-01-2025,iOS,2
S230,U05382,01-01-2025,Android,2
S231,U00959,01-01-2025,Android,1
S232,U00417,01-01-2025,Android,2
S233,U05742,01-01-2025,iOS,1
S234,U06728,01-01-2025,Android,1
S235,U04382,01-01-2025,Android,1
S236,U05197,01-01-2025,Android,1
S237,U01113,01-01-2025,Android,2
S238,U02689,01-01-2025,Android,1
S239,U06473,01-01-2025,Android,1
S240,U08820,01-01-2025,Android,1
S241,U07808,01-01-2025,Android,1
S242,U03411,01-01-2025,Android,2
S243,U00081,01-01-2025,iOS,1
S244,U04614,01-01-2025,Android,2
S245,U01374,01-01-2025,Android,2
S246,U01510,01-01-2025,Android,2
S247,U06443,01-01-2025,Android,1
S248,U03071,01-01-2025,iOS,2
S249,U03016,01-01-2025,Android,2
S250,U04823,01-01-2025,Android,1
S251,U07822,01-01-2025,Android,1
S252,U00093,01-01-2025,iOS,2
S253,U09421,01-01-2025,Android,1
S254,U06600,01-01-2025,Android,1
S255,U04443,01-01-2025,iOS,1
S256,U07602,01-01-2025,Android,2
S257,U03835,01-01-2025,iOS,2
S258,U09702,01-01-2025,Android,2
S259,U04322,01-01-2025,iOS,2
S260,U03394,01-01-2025,Android,1
S261,U04752,01-01-2025,Android,2
S262,U07229,01-01-2025,iOS,2
S263,U09191,01-01-2025,iOS,2
S264,U02361,01-01-2025,iOS,2
S265,U01148,01-01-2025,Android,1
S266,U05666,01-01-2025,Android,2
S267,U08075,01-01-2025,Android,2
S268,U04943,01-01-2025,Android,2
S269,U03663,01-01-2025,Android,2
S270,U01563,01-01-2025,Android,2
S271,U04113,01-01-2025,Android,1
S272,U09050,01-01-2025,Android,1
S273,U09276,01-01-2025,Android,1
S274,U08538,01-01-2025,iOS,2
S275,U00795,01-01-2025,Android,1
S276,U05854,01-01-2025,Android,2
S277,U07619,01-01-2025,Android,2
S278,U01594,01-01-2025,Android,1
S279,U07418,01-01-2025,iOS,2
S280,U05267,01-01-2025,Android,1
S281,U07147,01-01-2025,iOS,1
S282,U00089,01-01-2025,Android,1
S283,U08695,01-01-2025,Android,2
S284,U09732,01-01-2025,Android,2
S285,U09446,01-01-2025,iOS,1
S286,U06754,01-01-2025,Android,2
S287,U03502,01-01-2025,Android,1
S288,U02234,01-01-2025,Android,2
S289,U02803,01-01-2025,Android,2
S290,U04424,01-01-2025,Android,2
S291,U05663,01-01-2025,iOS,2
S292,U07170,01-01-2025,iOS,2
S293,U08337,01-01-2025,iOS,2
S294,U02148,01-01-2025,Android,1
S295,U07969,01-01-2025,Android,1
S296,U06551,01-01-2025,Android,2
S297,U07643,01-01-2025,Android,2
S298,U06164,01-01-2025,Android,1
S299,U01495,01-01-2025,iOS,2
S300,U07696,01-01-2025,Android,1
S301,U07094,01-01-2025,Android,2
S302,U01409,01-01-2025,Android,2
S303,U06691,01-01-2025,iOS,1
S304,U03401,01-01-2025,iOS,1
S305,U00109,01-01-2025,iOS,1
S306,U05636,01-01-2025,Android,1
S307,U08482,01-01-2025,iOS,2
S308,U06604,01-01-2025,Android,2
S309,U01091,01-01-2025,Android,2
S310,U05560,01-01-2025,iOS,1
S311,U09412,01-01-2025,Android,1
S312,U08143,01-01-2025,Android,1
S313,U08664,01-01-2025,Android,1
S314,U06596,01-01-2025,Android,2
S315,U00624,01-01-2025,Android,2
S316,U06871,01-01-2025,iOS,2
S317,U04814,01-01-2025,Android,2
S318,U06553,01-01-2025,iOS,1
S319,U07530,01-01-2025,Android,1
S320,U05796,01-01-2025,Android,1
S321,U07437,01-01-2025,iOS,1
S322,U04218,01-01-2025,Android,2
S323,U05941,01-01-2025,Android,2
S324,U08501,01-01-2025,Android,2
S325,U06429,01-01-2025,Android,2
S326,U06827,01-01-2025,iOS,1
S327,U04131,01-01-2025,Android,2
S328,U07802,01-01-2025,Android,2
S329,U07754,01-01-2025,iOS,1
S330,U04722,01-01-2025,Android,1
S331,U01651,01-01-2025,Android,2
S332,U04141,01-01-2025,iOS,1
S333,U01618,01-01-2025,Android,1
S334,U02030,01-01-2025,Android,2
S335,U08518,01-01-2025,Android,2
S336,U04576,01-01-2025,Android,2
S337,U03993,01-01-2025,Android,2
S338,U07377,01-01-2025,Android,2
S339,U06150,01-01-2025,Android,1
S340,U04909,01-01-2025,Android,1
S341,U05027,01-01-2025,Android,2
S342,U08261,01-01-2025,Android,1
S343,U04732,01-01-2025,Android,2
S344,U07549,01-01-2025,Android,2
S345,U08135,01-01-2025,Android,1
S346,U01607,01-01-2025,iOS,1
S347,U04774,01-01-2025,iOS,1
S348,U08110,01-01-2025,Android,1
S349,U06952,01-01-2025,Android,2
S350,U06005,01-01-2025,iOS,1
S351,U07729,01-01-2025,Android,2
S352,U03542,01-01-2025,Android,1
S353,U00389,01-01-2025,iOS,2
S354,U01795,01-01-2025,iOS,2
S355,U08732,01-01-2025,Android,1
S356,U04920,01-01-2025,Android,1
S357,U05538,01-01-2025,Android,2
S358,U03873,01-01-2025,iOS,2
S359,U08869,01-01-2025,iOS,2
S360,U02255,01-01-2025,Android,2
S361,U03413,01-01-2025,Android,1
S362,U05460,01-01-2025,iOS,2
S363,U04956,01-01-2025,Android,1
S364,U07397,01-01-2025,Android,2
S365,U05415,01-01-2025,iOS,1
S366,U07400,01-01-2025,Android,1
S367,U07415,01-01-2025,Android,1
S368,U09101,01-01-2025,iOS,1
S369,U04852,01-01-2025,Android,1
S370,U02026,01-01-2025,Android,2
S371,U02616,01-01-2025,Android,2
